MES,sexo,Edad,Ciudad de residencia,Departamento,Programa de Gobierno,Proceso,Tipo de Colocado,pertenece_hidrocarburos,tipo_de_proyecto_hidrocarburos,Tipo Contrato,Sector,Departamente sede,Municipio sede
ENERO,M,38,BUCARAMANGA,SANTANDER,NA,VIGILANTE,Directo por Remisión,false,n/a,Otro,Actividades de seguridad e investigación privada,SANTANDER,BUCARAMANGA
ENERO,M,28,BUCARAMANGA,SANTANDER,NA,AUXILIAR DE SERVICIOS GENERALES,Directo Autopostulado,false,n/a,Término Fijo,Otras actividades de servicios personales,SANTANDER,BUCARAMANGA
ENERO,F,22,BUCARAMANGA,SANTANDER,Generación empleo jóvenes (Estrategia Sacúdete),ASESOR DE COBRAZAS,Indirecto por Direccionamiento,false,n/a,Término Fijo,Telecomunicaciones,SANTANDER,GIRÓN
FEBRERO,M,29,PIEDECUESTA,SANTANDER,Migrantes,OPERADOR COBRO JURÍDICO,Directo por Remisión,false,n/a,Término Fijo,Telecomunicaciones,SANTANDER,BUCARAMANGA
ENERO,F,38,BUCARAMANGA,SANTANDER,Migrantes,Auxiliar de Servicios Generales,Directo por Remisión,false,n/a,Término Fijo,Otras actividades de servicios personales,SANTANDER,BUCARAMANGA
ENERO,M,23,BUCARAMANGA,SANTANDER,Generación empleo jóvenes (Estrategia Sacúdete),AUXILIAR DE LOGISTICA,Indirecto por Direccionamiento,false,n/a,Obra,Otras actividades de servicios personales,SANTANDER,BUCARAMANGA
ENERO,F,27,BUCARAMANGA,SANTANDER,Generación empleo jóvenes (Estrategia Sacúdete),Auxiliar de cocina,Indirecto por Direccionamiento,false,n/a,Obra,Actividades de servicios de comidas y bebidas,SANTANDER,BUCARAMANGA
ENERO,F,26,BUCARAMANGA,SANTANDER,Generación empleo jóvenes (Estrategia Sacúdete),CONTADORES DE MERCANCÍA,Indirecto por Direccionamiento,false,n/a,Obra,Actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas,SANTANDER,BUCARAMANGA
ENERO,F,35,BUCARAMANGA,SANTANDER,NA,CONTADORES DE MERCANCÍA,Indirecto por Direccionamiento,false,n/a,Obra,Actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas,SANTANDER,BUCARAMANGA
ENERO,M,51,BUCARAMANGA,SANTANDER,Migrantes,CONTADORES DE MERCANCÍA,Indirecto por Direccionamiento,false,n/a,Obra,Actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas,SANTANDER,BUCARAMANGA
ENERO,F,27,BUCARAMANGA,SANTANDER,Generación empleo jóvenes (Estrategia Sacúdete),CONTADORES DE MERCANCÍA,Indirecto por Direccionamiento,false,n/a,Obra,Actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas,SANTANDER,BUCARAMANGA
ENERO,M,22,BUCARAMANGA,SANTANDER,Generación empleo jóvenes (Estrategia Sacúdete),AUXILIAR DE BODEGA BUCARAMANGA,Indirecto por Direccionamiento,false,n/a,Término Indefinido,"Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas",SANTANDER,BUCARAMANGA
ENERO,F,42,BUCARAMANGA,SANTANDER,NA,ADMINISTRADOR(A) - CAJERO(A),Indirecto por Direccionamiento,false,n/a,Término Indefinido,Elaboración de productos alimenticios,SANTANDER,BUCARAMANGA
ENERO,F,26,BUCARAMANGA,SANTANDER,"Migrantes, Generación empleo jóvenes (Estrategia Sacúdete)",AUXILIAR DE NUTRICIÓN - CAMARERO/A,Indirecto por Direccionamiento,false,n/a,Término Fijo,Otras actividades de servicios personales,SANTANDER,FLORIDABLANCA
ENERO,F,53,BUCARAMANGA,SANTANDER,Migrantes,AUXILIAR DE NUTRICIÓN - CAMARERO/A,Indirecto por Direccionamiento,false,n/a,Término Fijo,Otras actividades de servicios personales,SANTANDER,FLORIDABLANCA
ENERO,M,36,BUCARAMANGA,SANTANDER,NA,Agente Teleoperador Servicio al Cliente,Indirecto por Direccionamiento,false,n/a,Obra,Actividades de empleo,SANTANDER,BUCARAMANGA
ENERO,M,19,FLORIDABLANCA,SANTANDER,"Generación empleo jóvenes (Estrategia Sacúdete), Misión TIC 2022",Agente Teleoperador Servicio al Cliente,Indirecto por Direccionamiento,false,n/a,Obra,Actividades de empleo,SANTANDER,BUCARAMANGA
ENERO,F,37,BUCARAMANGA,SANTANDER,NA,ASESOR/A COMERCIAL DE PUNTO DE VENTA,Indirecto por Direccionamiento,false,n/a,Obra,"Actividades profesionales, científicas, técnicas y servicios administrativos",SANTANDER,BUCARAMANGA
ENERO,F,35,FLORIDABLANCA,SANTANDER,Víctimas del conflicto armado,AUXILIAR CONTABLE,Indirecto por Direccionamiento,false,n/a,Término Fijo,Obras de ingeniería civil,SANTANDER,FLORIDABLANCA
MARZO,M,29,PIEDECUESTA,SANTANDER,Migrantes,OPERADOR COBRO JURÍDICO,Directo por Remisión,false,n/a,Término Fijo,Telecomunicaciones,SANTANDER,BUCARAMANGA
ENERO,M,44,BUCARAMANGA,SANTANDER,NA,Guardia de seguridad,Indirecto por Direccionamiento,false,n/a,Término Fijo,Otras actividades de servicios personales,SANTANDER,BUCARAMANGA
ENERO,F,28,BUCARAMANGA,SANTANDER,Migrantes,AUXILIAR DE COCINA,Indirecto por Direccionamiento,false,n/a,Término Fijo,Otras actividades de servicios personales,SANTANDER,FLORIDABLANCA
ENERO,M,39,BUCARAMANGA,SANTANDER,NA,Guarda de seguridad,Indirecto por Direccionamiento,false,n/a,Término Fijo,Otras actividades de servicios personales,SANTANDER,BUCARAMANGA
ENERO,F,26,BUCARAMANGA,SANTANDER,Generación empleo jóvenes (Estrategia Sacúdete),RESIDENTE LOGISTICO,Indirecto por Direccionamiento,false,n/a,Obra,Otras actividades de servicios personales,SANTANDER,BUCARAMANGA
ENERO,F,18,BUCARAMANGA,SANTANDER,"Migrantes, Generación empleo jóvenes (Estrategia Sacúdete)",CONTADORES DE MERCANCÍA,Indirecto por Direccionamiento,false,n/a,Obra,Actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas,SANTANDER,BUCARAMANGA
ENERO,F,23,PIEDECUESTA,SANTANDER,Generación empleo jóvenes (Estrategia Sacúdete),AUXILIAR  DE ENFERMERÍA,Indirecto por Direccionamiento,false,n/a,Término Fijo,"Actividades profesionales, científicas, técnicas y servicios administrativos",SANTANDER,FLORIDABLANCA
ENERO,F,44,BUCARAMANGA,SANTANDER,Migrantes,PROFESIONAL SERVICIO DE LIMPIEZA,Indirecto por Direccionamiento,false,n/a,Término Fijo,Otras actividades de servicios personales,SANTANDER,BUCARAMANGA
ENERO,F,21,FLORIDABLANCA,SANTANDER,Generación empleo jóvenes (Estrategia Sacúdete),ASESOR/A COMERCIAL DE PUNTO DE VENTA,Indirecto por Direccionamiento,false,n/a,Obra,"Actividades profesionales, científicas, técnicas y servicios administrativos",SANTANDER,BUCARAMANGA
ENERO,M,53,BARRANCABERMEJA,SANTANDER,NA,Operador de equipo pesado I D9,Indirecto por Direccionamiento,,Proyecto de Exploración On Shore,Obra,Actividades de servicios de apoyo para la explotación de minas,SANTANDER,BARRANCABERMEJA
